,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1951,43.62565,40.59702,42.28316,41.34538,48.31095,53.74,46.67903,48.07141,41.30566,56.10229,49.77757,44.57473
1952,42.75259,38.46369,52.99256,46.3834,46.89206,36.07768,46.31697,40.43335,29.13491,20.59169,41.99716,41.46341
1953,40.83213,30.9656,51.60111,42.88132,49.90748,42.17858,46.4871,48.10165,21.94553,41.32147,38.27571,37.06963
1954,41.11981,37.41182,45.35162,43.95086,39.72699,42.21373,41.11555,56.3632,28.24355,36.82838,37.31245,38.73589
1955,32.69558,36.0887,43.11147,38.31973,45.04927,39.11599,42.75956,47.48708,45.05649,40.39579,43.48467,38.2364
1956,38.50282,54.28843,45.25355,40.8945,42.18979,45.92752,48.47195,40.15359,29.442,30.57737,30.28565,32.95486
1957,37.26713,29.37717,36.70028,48.47271,58.62452,49.43148,41.4827,42.42529,31.95585,46.44388,42.62606,43.62081
1958,42.51212,29.09883,47.87819,49.12374,42.3604,44.54229,67.68337,47.54214,39.90791,30.13987,35.85661,41.86388
1959,41.93229,35.49675,43.94491,36.30319,49.97084,38.64113,54.04787,54.02616,44.81609,45.59169,36.18939,37.38417
1960,40.46363,43.04985,44.07315,42.41166,50.04617,44.28619,43.73832,40.29925,36.9905,36.23528,39.36211,40.05217
1961,31.57428,27.92528,43.68744,43.19012,46.84635,38.76115,53.37631,50.61531,46.73758,37.29291,47.16228,39.29671
1962,31.12392,47.07854,42.70349,38.25249,38.78295,36.41834,54.31307,38.44286,42.63284,42.72069,42.45554,44.39362
1963,39.70955,38.62297,49.73422,48.63529,56.20136,41.69279,53.57634,41.9813,33.14606,31.07967,42.61542,36.60421
1964,28.28638,37.43244,54.36547,62.13727,40.85067,45.10366,52.72955,47.94981,37.91255,21.67763,37.40022,47.88523
1965,41.07267,39.56552,37.82104,45.0204,35.63366,40.81496,50.33292,42.53495,43.35362,39.89756,41.01999,37.20835
1966,45.81168,35.37145,36.93273,45.43843,37.86514,35.77423,50.01672,46.56837,42.85902,38.23047,35.92976,46.48464
1967,35.31512,29.13595,40.82361,49.94239,55.87353,49.45121,52.08463,51.19402,36.79918,37.18097,39.20961,44.78306
1968,37.5339,30.40932,40.45344,37.08882,51.09141,38.37152,42.13736,54.59226,28.52113,36.31921,47.06627,58.34724
1969,56.14126,44.51589,51.27066,56.65102,45.41459,49.47241,59.87288,46.46022,40.02505,46.81948,31.10808,53.32304
1970,43.94647,27.86797,35.19952,41.77536,39.1339,42.69287,46.81892,42.62252,39.62445,36.94746,34.38092,41.6627
1971,30.95521,37.10668,38.89998,38.33898,50.45726,38.91027,55.77781,40.3531,44.52643,35.02298,34.44292,44.31149
1972,38.76155,36.35048,35.09002,46.5649,52.85616,44.57787,43.18614,51.1692,42.27326,51.87247,47.29255,40.01484
1973,41.35352,34.80883,60.36499,48.91632,44.28432,44.02337,50.44099,44.95814,46.53858,38.76273,39.67883,43.04715
1974,37.22789,32.99733,45.14755,50.97286,45.2842,40.58737,40.82485,53.5139,33.87066,31.91466,33.13907,34.1365
1975,32.94971,41.5945,51.00617,40.82143,52.40592,45.36831,46.8621,43.96829,39.39996,31.72653,42.2538,37.07568
1976,29.67007,39.12735,32.66297,47.78201,43.94001,40.90614,46.39075,50.64764,39.44287,58.27573,27.66575,31.81981
1977,32.63552,22.06823,37.79353,39.66714,45.63181,45.05415,49.3544,53.95905,38.34851,43.43665,41.55788,49.08298
1978,51.10023,38.5626,46.11104,51.1328,51.25855,40.57462,42.72095,47.93583,35.49559,32.17549,35.78189,49.18968
1979,56.36425,46.13074,41.28689,50.66109,44.04087,51.49451,61.04687,47.82898,29.64329,50.40908,45.8708,32.33206
1980,42.36121,34.73816,53.02736,44.00625,49.55552,36.51444,37.49461,47.7346,26.19862,35.70993,35.68847,33.21486
1981,31.20919,35.42191,40.77932,46.9226,62.16718,46.25852,63.26467,46.80262,33.17067,37.5212,36.609,48.5395
1982,38.90604,30.63865,46.20066,40.24641,55.11034,46.23934,44.69721,51.35563,35.59145,41.76255,49.23039,40.64399
